Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
61,2659712,70,1625728,0,79,27
162,2661832,169,1707294,0,177,27
263,2568124,271,1405338,0,280,24
364,2568620,374,1140044,0,383,19
464,2569260,475,1025323,0,484,18
565,2569848,578,1261936,0,587,26
665,2571124,673,2073194,171511,682,41
765,2575024,772,2308688,407005,779,42
865,2575488,870,2015718,114035,877,23
964,2575700,967,1655943,0,969,22
1065,2575700,1071,1489562,0,1076,19
1170,2575924,1186,1096969,0,1200,23
1269,2576172,1278,1438394,0,1288,20
1370,2576224,1388,1325780,0,1402,27
1473,2576304,1487,1339725,0,1508,26
1571,2576184,1582,1000112,0,1595,18
1672,2577096,1682,1117750,0,1691,22
1772,2577756,,,,,
