Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
80,2580272,84,3692076,2608939,88,55
181,2589248,184,3505273,2422136,189,52
281,2603396,285,3887257,2804120,288,51
382,2603580,385,3342210,2259073,388,63
482,2617360,486,4449876,3366739,489,56
583,2625852,586,3811117,2727980,590,55
683,2631852,686,2674477,1591340,689,41
784,2639276,786,2591875,1508738,789,35
885,2644688,890,2354848,1271711,896,54
984,2648440,987,2454347,1371210,990,44
1085,2652472,1087,2784412,1701275,1091,41
1185,2656704,1188,2630402,1547265,1191,38
1286,2660640,1288,3090376,2007239,1292,44
1386,2664824,1389,2707804,1624667,,
